City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Te Anau,NZ,2023-01-27 04:23:33,-45.4167,167.7167,71.51,39,11,4.9
88,Chimbote,PE,2023-01-27 04:23:33,-9.0853,-78.5783,69.93,81,99,4.85
89,Honningsvag,NO,2023-01-27 04:23:33,70.9821,25.9704,33.55,80,100,9.22
90,Samarai,PG,2023-01-27 04:23:34,-10.6167,150.6667,84.76,69,21,14.99
91,Phangnga,TH,2023-01-27 04:23:34,8.4509,98.5298,86.04,59,94,5.79
92,Tomatlan,MX,2023-01-27 04:23:34,19.9333,-105.25,64.13,93,0,3.04
93,Berezovyy,RU,2023-01-27 04:23:35,51.6667,135.7,-2.63,77,8,2.66
94,Kruisfontein,ZA,2023-01-27 04:23:35,-34.0033,24.7314,62.22,77,0,4.61
95,Asau,RO,2023-01-27 04:19:59,46.4333,26.4,27.52,95,100,4.03
96,Arraial Do Cabo,BR,2023-01-27 04:21:33,-22.9661,-42.0278,74.55,86,85,2.91
97,Nelson Bay,AU,2023-01-27 04:23:36,-32.7167,152.15,83.08,73,28,5.99
98,Bambous Virieux,MU,2023-01-27 04:23:37,-20.3428,57.7575,78.22,94,75,3.44
99,Butaritari,KI,2023-01-27 04:23:37,3.0707,172.7902,81.01,77,90,12.26
100,Vao,NC,2023-01-27 04:23:37,-22.6667,167.4833,78.26,82,33,12.95
101,Iqaluit,CA,2023-01-27 04:23:38,63.7506,-68.5145,-16.87,52,75,6.91
102,Verkhnyaya Inta,RU,2023-01-27 04:23:38,65.9811,60.3094,21.76,91,100,20.07
103,Taoudenni,ML,2023-01-27 04:23:39,22.6783,-3.9836,51.78,24,3,10.09
104,Kirakira,SB,2023-01-27 04:23:39,-10.4544,161.9205,81.48,82,98,5.06
105,Jacareacanga,BR,2023-01-27 04:23:39,-6.2222,-57.7528,71.92,100,100,1.19
106,Airai,TL,2023-01-27 04:23:40,-8.9266,125.4092,73.42,66,68,1.86
107,Suntar,RU,2023-01-27 04:23:40,62.1444,117.6319,-20.34,97,100,4.68
108,Mugur-Aksy,RU,2023-01-27 04:23:41,50.35,90.5,10.96,79,99,5.06
109,Malanville,BJ,2023-01-27 04:23:41,11.8685,3.3899,72.91,15,2,4.05
110,Mahebourg,MU,2023-01-27 04:23:41,-20.4081,57.7,78.26,94,75,3.44
111,Thompson,CA,2023-01-27 04:23:42,55.7435,-97.8558,-2.04,78,100,5.75
112,Segovia,ES,2023-01-27 04:23:42,41.1667,-4.0,33.44,89,84,7.36
113,Flin Flon,CA,2023-01-27 04:23:43,54.7682,-101.865,6.94,94,99,8.57
114,Klaksvik,FO,2023-01-27 04:23:43,62.2266,-6.589,45.52,94,100,32.39
115,Upernavik,GL,2023-01-27 04:23:44,72.7868,-56.1549,4.39,90,100,24.23
116,San Antonio,US,2023-01-27 04:20:58,29.4241,-98.4936,45.61,62,0,3.44
117,Dori,BF,2023-01-27 04:23:44,14.0354,-0.0345,74.1,16,60,9.1
118,Barrow,US,2023-01-27 04:23:44,71.2906,-156.7887,-7.58,77,0,14.97
119,Santander,ES,2023-01-27 04:23:45,43.4647,-3.8044,48.45,87,75,13.0
120,Mar Del Plata,AR,2023-01-27 04:23:45,-38.0023,-57.5575,70.09,89,40,9.22
121,Oranjemund,NA,2023-01-27 04:23:46,-28.55,16.4333,60.71,94,13,10.76
122,Mount Isa,AU,2023-01-27 04:23:46,-20.7333,139.5,98.37,26,58,10.36
123,Russell,US,2023-01-27 04:21:51,32.3502,-85.1999,40.23,86,0,0.0
124,Beringovskiy,RU,2023-01-27 04:23:47,63.05,179.3167,2.43,96,100,22.19
125,Onoda,JP,2023-01-27 04:23:47,34.0014,131.1836,41.02,52,75,14.97
126,Victoria,HK,2023-01-27 04:23:18,22.2855,114.1577,63.25,46,100,18.01
127,Broome,US,2023-01-27 04:23:48,42.2506,-75.833,29.7,87,100,5.75
128,Lasa,IT,2023-01-27 04:23:48,46.6166,10.7002,25.68,64,4,6.11
129,Bengkulu,ID,2023-01-27 04:23:49,-3.8004,102.2655,75.79,90,99,12.91
130,Batagay,RU,2023-01-27 04:23:49,67.6333,134.6333,-47.49,99,82,1.72
131,Westport,US,2023-01-27 04:23:49,41.1415,-73.3579,41.76,59,0,11.5
132,Bethel,US,2023-01-27 04:23:50,41.3712,-73.414,40.5,52,75,6.91
133,Bitung,ID,2023-01-27 04:23:50,1.4451,125.1824,74.25,78,100,10.67
134,Lavrentiya,RU,2023-01-27 04:23:51,65.5833,-171.0,-6.84,100,100,9.73
135,Khatanga,RU,2023-01-27 04:23:51,71.9667,102.5,-11.13,80,100,16.67
136,Havelock,US,2023-01-27 04:23:51,34.8791,-76.9013,51.78,85,60,1.01
137,Puerto Ayora,EC,2023-01-27 04:23:52,-0.7393,-90.3518,75.54,92,47,1.99
138,Sabalgarh,IN,2023-01-27 04:23:52,26.25,77.4,57.94,41,0,5.64
139,Turka,UA,2023-01-27 04:23:52,49.1541,23.0297,21.25,98,92,2.82
140,Inhambane,MZ,2023-01-27 04:23:53,-23.865,35.3833,76.98,78,20,9.22
141,Sur,OM,2023-01-27 04:23:53,22.5667,59.5289,68.22,61,51,4.36
142,Rawson,AR,2023-01-27 04:21:07,-43.3002,-65.1023,67.8,37,17,9.4
143,Bosanska Kostajnica,HR,2023-01-27 04:23:54,45.2159,16.5444,31.53,94,99,6.64
144,Bousso,TD,2023-01-27 04:23:54,10.4795,16.7117,73.63,17,30,6.71
145,Chapais,CA,2023-01-27 04:23:55,49.7834,-74.8492,-7.82,95,98,8.61
146,Madinat Sittah Uktubar,EG,2023-01-27 04:23:55,29.8167,31.05,53.2,33,18,11.27
147,Lodwar,KE,2023-01-27 04:23:55,3.1191,35.5973,80.65,36,88,12.15
148,Bathsheba,BB,2023-01-27 04:23:56,13.2167,-59.5167,77.61,69,40,13.8
149,Krasnoselkup,RU,2023-01-27 04:23:56,65.7,82.4667,13.95,95,100,8.86
150,Bonavista,CA,2023-01-27 04:23:57,48.6499,-53.1147,34.9,89,100,43.8
151,Suluq,LY,2023-01-27 04:23:57,31.6682,20.2521,52.16,79,0,1.9
152,Takoradi,GH,2023-01-27 04:23:58,4.8845,-1.7554,78.96,88,90,7.27
153,Atuona,PF,2023-01-27 04:23:58,-9.8,-139.0333,78.58,78,18,14.54
154,Imeni Zhelyabova,RU,2023-01-27 04:23:59,58.9544,36.5956,31.62,99,100,5.7
155,Bredasdorp,ZA,2023-01-27 04:23:59,-34.5322,20.0403,61.3,87,10,1.9
156,Albuquerque,US,2023-01-27 04:22:45,35.0845,-106.6511,30.92,40,0,8.05
157,Nanortalik,GL,2023-01-27 04:24:00,60.1432,-45.2371,16.18,69,81,8.37
158,Kasongo,CD,2023-01-27 04:24:00,-4.45,26.6667,66.51,96,100,2.46
159,Tsiroanomandidy,MG,2023-01-27 04:24:00,-18.7667,46.0333,67.71,95,100,14.25
