City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Plettenberg Bay,ZA,-34.0527,23.3716,61.39,91,100,6.24,overcast clouds
105,Kodiak,US,57.79,-152.4072,38.71,81,100,9.22,light rain
106,Guerrero Negro,MX,27.9769,-114.0611,58.86,85,0,12.15,clear sky
107,Haldia,IN,22.0605,88.1097,95.65,37,62,7.45,broken clouds
108,Sassandra,CI,4.95,-6.0833,76.46,93,100,6.22,overcast clouds
109,Vestmannaeyjar,IS,63.4427,-20.2734,37.99,76,100,14.29,light rain
110,Alihe,CN,50.5667,123.7167,53.56,23,35,5.1,scattered clouds
111,Kapaa,US,22.0752,-159.319,80.58,77,100,10.36,overcast clouds
112,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,90,25,12.62,light rain
113,Pangkalanbuun,ID,-2.6833,111.6167,90.05,58,100,1.16,overcast clouds
114,Talnakh,RU,69.4865,88.3972,25.14,91,100,4.25,light snow
115,Asau,RO,46.4333,26.4,42.28,78,92,4.9,overcast clouds
116,Faanui,PF,-16.4833,-151.75,82.15,77,16,6.93,few clouds
117,Saint-Philippe,RE,-21.3585,55.7679,76.12,69,16,4.18,few clouds
118,Ladario,BR,-19.0047,-57.6017,73.27,94,81,1.86,broken clouds
119,Kenai,US,60.5544,-151.2583,42.89,55,75,9.22,light rain
120,Provideniya,RU,64.3833,-173.3,26.71,50,0,11.18,clear sky
121,Noumea,NC,-22.2763,166.4572,80.58,79,61,18.48,broken clouds
122,Yangliuqing,CN,39.1375,116.9997,71.55,35,100,14.03,overcast clouds
123,Constitucion,CL,-35.3333,-72.4167,56.12,76,100,4.21,overcast clouds
124,Ketchikan,US,55.3422,-131.6461,45.07,65,100,3.44,overcast clouds
125,Pisco,PE,-13.7,-76.2167,71.65,73,0,4.61,clear sky
126,Yaan,NG,7.3833,8.5667,77.23,84,93,6.46,overcast clouds
127,Carnarvon,AU,-24.8667,113.6333,76.66,39,9,15.01,clear sky
128,Uddevalla,SE,58.3478,11.9424,41.07,75,7,4.14,clear sky
129,Airai,TL,-8.9266,125.4092,70.14,83,99,2.08,overcast clouds
